NPDESID_PFID,NPDES_ID,PERMITTING_STATE,AGENCY_TYPE_CODE,FACILITY_UIN,FACILITY_NAME,LOCATION_ADDRESS,SUPPLEMENTAL_ADDRESS_TEXT,FACILITY_CITY,COUNTY_CODE,STATE_CODE,EPA_REGION_CODE,FACILITY_TYPE_CODE,FACILITY_LAT,FACILITY_LON,PERMIT_NAME,VERSION_NMBR,PERMIT_TYPE_CODE,EFFECTIVE_DATE,EXPIRATION_DATE,PERMIT_STATUS_CODE,FACILITY_TYPE_INDICATOR,MAJOR_MINOR_STATUS_FLAG,PERMIT_TRACKING,PT_START_DATE,DMR_TRACKING,DMR_NR_START_DATE,PERMIT_DESIGN_FLOW,PERMIT_AVG_FLOW,PERM_FEATURE_NMBR,PERM_FEATURE_TEXT,PF_LAT,PF_LON,PF_CHARACTER,PERM_FEATURE_TYPE_CODE,PF_STATE_WATERBODY_NAME,PF_STATE_AUTO_NAME,PF_REACH_ID,IN_ICIS,ECHO_DFR_LINK
CA0037664035,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,35,,37.747223,-122.3861,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664037,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,37,,37.735832,-122.3739,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664038,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,38,,37.733334,-122.3739,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664040,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,40,,37.723057,-122.3822,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664041,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,41,Equivalent-to-Primary-Treated Effluent (Wet Weather),37.723889,-122.385556,TCS,EXO,Yosemite Creek Sountheast Drainage Basin,San Francisco Bay Estuaries,1.805E+13,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664042,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,42,,37.722221,-122.3819,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037664043,CA0037664,CA,ST6,1.10043E+11,"SOUTHEAST WPCP, NORTH POINT WWF, BAYSIDE WWF",750 PHELPS STREET,,SAN FRANCISCO,CA075,CA,9,MWD,37.740278,-122.390278,"San Francisco, City and County of",0,NPD,10/1/13,9/30/18,EXP,POTW,M,Y,10/1/13,Y,10/1/13,400,,43,Equivalent-to-Primary-Treated Effluent (Wet Weather),37.747222,-122.386944,TCS,EXO,Candlestick Cove Southeast Drainage Basin,San Francisco Bay Estuaries,1.805E+13,YES,https://echo.epa.gov/detailed-facility-report?fid=110043091301
CA0037681002,CA0037681,CA,ST6,1.10056E+11,OCEANSIDE WPCP,3500 GREAT HIGHWAY,,SAN FRANCISCO,CA075,CA,9,MWD,37.728028,-122.5045,"SAN FRANCISCO, CITY & COUNTY",0,NPD,2/1/20,10/31/24,ADC,POTW,M,Y,2/1/20,Y,2/1/20,43,,2,,37.73778,-122.50806,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110055972023
CA0037681003,CA0037681,CA,ST6,1.10056E+11,OCEANSIDE WPCP,3500 GREAT HIGHWAY,,SAN FRANCISCO,CA075,CA,9,MWD,37.728028,-122.5045,"SAN FRANCISCO, CITY & COUNTY",0,NPD,2/1/20,10/31/24,ADC,POTW,M,Y,2/1/20,Y,2/1/20,43,,3,,37.7639,-122.51158,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110055972023
CA0037681004,CA0037681,CA,ST6,1.10056E+11,OCEANSIDE WPCP,3500 GREAT HIGHWAY,,SAN FRANCISCO,CA075,CA,9,MWD,37.728028,-122.5045,"SAN FRANCISCO, CITY & COUNTY",0,NPD,2/1/20,10/31/24,ADC,POTW,M,Y,2/1/20,Y,2/1/20,43,,4,,37.78475,-122.5102,TCS,EXO,Pacific Ocean,,,YES,https://echo.epa.gov/detailed-facility-report?fid=110055972023
