"","FACILITY_NAME","LOCATION_ADDRESS","FACILITY_CITY","STATE_CODE","PERMIT_DESIGN_FLOW","PERMIT_AVG_FLOW","SF","SN_C","geometry"
"76","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.703514, 41.766998)
"77","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.703249, 41.767148)
"78","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.699617, 41.758081)
"79","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.701238, 41.763195)
"80","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.703249, 41.767148)
"81","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.699379, 41.753162)
"82","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.71096, 41.750404)
"83","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.70307, 41.749667)
"84","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.700622, 41.750903)
"85","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.705638, 41.743447)
"86","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.70564, 41.743465)
"87","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.708314, 41.737059)
"88","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,"Connecticut",1,c(-72.714295, 41.732484)
"89","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,NA,NA,c(-72.681011, 41.765126)
"90","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,NA,NA,c(-72.667913, 41.760473)
"91","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,NA,NA,c(-72.674379, 41.762108)
"92","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,NA,NA,c(-72.674304, 41.762245)
"93","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,NA,NA,c(-72.676182, 41.762756)
"94","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,NA,NA,c(-72.67677, 41.76334)
"95","HARTFORD WPCF","240 BRAINARD RD","HARTFORD","CT",60,NA,NA,NA,c(-72.685524, 41.763967)
